relation,quantile,before,after
CB,0.0,0.3901495337486267,0.22421269118785858
CB,0.1,0.39821585118770597,0.3372492790222168
CB,0.25,0.5972796380519867,0.378371886909008
CB,0.5,0.5981041193008423,0.45700952410697937
CB,0.75,0.5986796170473099,0.5160819739103317
CB,0.9,0.798372769355774,0.5615228235721588
CB,1.0,0.9997684955596924,0.9628697037696838
