relation,k,num_edges,avg_degree,isolated_user_count,same_label_ratio,fake_fake_ratio,fake_real_ratio,real_real_ratio,avg_base_score,avg_abnormal_pair,avg_tns_score,avg_rank_score
UPU,20,129868,19.4909200060033,1,0.5342116610712415,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.03602779284119606,0.21602383579656842,0.00035231226614716477,0.04003070466499213
UTU,20,129559,19.520717191502186,27,0.5061554967235005,0.28633286765103155,0.49384450327649954,0.2198226290724689,0.12361996620893478,0.22234287051721977,0.00021540910519531644,0.1377395721868869
USU,20,133280,20.0,0,0.6019732893157262,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.9952452182769775,0.22329335025573627,2.45737037815126e-05,1.1062874531336246
LogicAE_CB,20,105264,16.393708145148732,243,0.6135335917312662,0.2883986928104575,0.38646640826873385,0.32513489892080866,0.6297605037689209,0.24029117274764586,0.0005897694231646148,0.7047957003289674
