relation,k,min_rank_score,mean_rank_score,max_rank_score,mean_base_score,mean_abnormal_pair,mean_tns_score
UPU,20,0.0,0.0360277895355395,0.5004886724498311,0.03602778911590576,0.2160238357965684,0.00035231226614716477
UTU,20,0.019520632917475522,0.12361996515179074,0.516326514445648,0.12361995875835419,0.2223428705172198,0.00021540910519531644
USU,20,0.3323341968485965,0.9952451243585445,1.0,0.9952452182769775,0.22329335025573627,2.45737037815126e-05
LogicAE_CB,20,0.3998846530914307,0.6297605112240313,0.9999804735183715,0.6297605037689209,0.24029117274764586,0.0005897694231646148
