relation,pool_edges,train_edges_for_params,pair_abnormal_median,pair_abnormal_q05,pair_abnormal_q95,u_shape_denominator,base_rank_weight,u_shape_weight,pair_abnormal_weight
UPU,552580,356033,0.18805374205112457,0.10317037552595139,0.36338528990745544,0.17533154785633087,0.55,0.3,0.15
UTU,536230,343238,0.18808412551879883,0.10583413727581502,0.3519470989704132,0.16386297345161438,0.55,0.3,0.15
USU,666400,426400,0.20969942212104797,0.10804582424461842,0.37965649068355556,0.16995706856250758,0.55,0.3,0.15
LogicAE_CB,605630,388896,0.23549088835716248,0.0881492830812931,0.4103797376155853,0.17488884925842285,0.55,0.3,0.15
