experiment_name,strategy,topology_mode,gate_eta,val_auc,val_ap,AUC,AP,F1,Recall,Precision,test_threshold,delta_auc_vs_d1,delta_ap_vs_d1,delta_f1_vs_d1,notes
D1_EGAT_Base_LogicAE_CB,reference_only,reference_only,,0.8432005463076712,0.8430096803332938,0.8563709149922789,0.858368711617606,0.7781715095676824,0.823088455772114,0.7379032258064516,0.42550843954086304,0.0,0.0,0.0,reference row from D1 output; not rerun
D2A_FixedD1_LearnableGate_eta03,fixed_d1_topology_learnable_gate,fixed_d1,0.3,0.8475653756393244,0.8451766887110618,0.8473664217366579,0.8450625780302387,0.7703804347826086,0.8500749625187406,0.7043478260869566,0.3148842751979828,-0.009004493255621027,-0.01330613358736732,-0.007791074785073793,D1 directed edge pairs are copied exactly; abnormal pair features enter only as no-TNS edge context/gate signal.
D2A_FixedD1_LearnableGate_eta05,fixed_d1_topology_learnable_gate,fixed_d1,0.5,0.8462664869107921,0.845319797466096,0.8438172218238706,0.8441992383300432,0.7688888888888888,0.7781109445277361,0.7598828696925329,0.4953249990940094,-0.012553693168408264,-0.014169473287562795,-0.009282620678793596,Same fixed D1 topology with a wider learnable message gate range.
D2B_Pool100_PairAbnTop20_GateEta05,pool100_pair_abnormal_reselect_top20,pool_reselect,0.5,0.8423135003467223,0.842487056195888,0.8489690686890438,0.8477062025232898,0.7693298969072165,0.8950524737631185,0.6745762711864407,0.2252904772758484,-0.007401846303235149,-0.010662509094316208,-0.008841612660465903,Build a top60 candidate pool per relation and select top20 per source by pair abnormal score only.
D2B_Pool100_DiagnosticTop20_GateEta05,pool100_diagnostic_reselect_top20,pool_reselect,0.5,0.8433061470173079,0.8366829682322411,0.8447095792433618,0.8385552943914236,0.7647457627118645,0.8455772113943029,0.698019801980198,0.30041104555130005,-0.011661335748917145,-0.01981341722618235,-0.013425746855817988,Select top20 per source by base-rank plus U-shaped abnormal consistency score from edge diagnostics.
D2B_Pool100_DiagnosticReserve50_GateEta05,pool100_diagnostic_reselect_top20_with_d1_reserve,pool_reselect_reserve,0.5,0.8473119339361961,0.8461038839507897,0.8477170709997326,0.8444288302467619,0.7717614804660726,0.8440779610194903,0.7108585858585859,0.324084997177124,-0.008653843992546317,-0.01393988137084412,-0.006410029101609815,Keep the first half of D1 neighbors and fill the rest from pool60 by diagnostic score.
