relation,num_edges,mean_pair_score,std_pair_score,min_pair_score,max_pair_score,positive_pair_score_ratio
UPU,129868,0.21602383255958557,0.08375594764947891,0.06386720389127731,0.4688076376914978,1.0
UTU,129559,0.22234651446342468,0.08371882885694504,0.06425141543149948,0.47008439898490906,1.0
USU,133280,0.22329336404800415,0.0848999097943306,0.06250930577516556,0.4680418074131012,1.0
TextSim,133280,0.2551403045654297,0.10658524930477142,0.05918674170970917,0.4727894067764282,1.0
CB,133280,0.2551403343677521,0.10658523440361023,0.05918674170970917,0.4727894067764282,1.0
LogicAE_CB,105264,0.24029116332530975,0.10215185582637787,0.05918674170970917,0.4727894067764282,1.0
