edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,66176,9.931862524388414,1,17743,30450,17983,0.2681183510638298,0.4601366054158607,0.2717450435203095,0.5398633945841392,0.04866480082273483
UTU,65499,9.868766008738888,27,21956,30770,12773,0.33521122459884883,0.46977816455213056,0.1950106108490206,0.5302218354478694,0.14339034259319305
USU,133280,20.0,0,54349,55577,23354,0.407780612244898,0.41699429771908764,0.1752250900360144,0.5830057022809124,0.9947296380996704
LogicAE_CB,130912,19.680096211665663,12,40834,49192,40886,0.31191945734539234,0.3757638719139575,0.3123166707406502,0.6242361280860426,0.714868426322937
