experiment_name,fusion_mode,use_aux_loss,lambda_aux,warmup_ratio,review_encoder,feature_dim,feature_hash,review_auc,review_ap,review_f1,review_recall,review_precision,graph_auc,graph_ap,graph_f1,graph_recall,graph_precision,graph_best_epoch,graph_threshold,notes
L8_maskprofile_dualtower_late_aux,late,True,0.2,0.3,llm_masked_logic,256,4f16da59de0beadd716c22be1d7e3ef511866c4ecee9dbbe28e19dcf5f256cde,0.7513902684275712,0.6106068945124405,0.6115450562011812,0.6858974358974359,0.5517359917497422,0.8086983494759367,0.7963320064780816,0.7469725940089229,0.8785607196401799,0.6496674057649667,0.0,0.07672502845525742,
D1_EGAT_Base_LogicAE_CB,reference_only,False,0.0,0.0,llm_masked_logic,288,UNKNOWN_FROM_D1,,,,,,0.8563709149922789,0.858368711617606,0.7781715095676824,0.823088455772114,0.7379032258064516,,0.42550843954086304,reference only; source=graph/outputs/routeD_tns_guided_logic_egat_20260504_200855/D1_EGAT_Base_LogicAE_CB
