edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,129868,19.4909200060033,1,32468,60491,36909,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.5342116610712415,0.0360277895355395
UTU,129559,19.520717191502186,27,37098,63982,28479,0.2863405861422209,0.49384450327649954,0.21981491058127958,0.5061554967235005,0.12361996515179074
USU,133280,20.0,0,38702,53049,41529,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.6019732893157262,0.9952451243585445
TextSim,133280,20.0,0,42690,39975,50615,0.3203031212484994,0.2999324729891957,0.3797644057623049,0.7000675270108043,0.9950355312457176
CB,133280,20.0,0,42690,39975,50615,0.3203031212484994,0.2999324729891957,0.3797644057623049,0.7000675270108043,0.6048149327864024
LogicAE_CB,105264,16.393708145148732,243,30358,40681,34225,0.2883986928104575,0.38646640826873385,0.32513489892080866,0.6135335917312662,0.6297605112240313
TNSGuided_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
