epoch,train_loss,val_auc,val_ap,improved,patience_left
1,0.6645994782447815,0.7035260076947716,0.6986184641615847,True,16
2,0.5460489988327026,0.7055042609886338,0.7010394378378992,True,16
3,0.5866472721099854,0.7100662116449423,0.7063803061016074,True,16
4,0.5880027413368225,0.7165641753112582,0.713856392481427,True,16
5,0.5625314712524414,0.7269552851395162,0.7246188479884543,True,16
6,0.5294041633605957,0.7422568279658839,0.7411803645831999,True,16
7,0.5083303451538086,0.7613916765520665,0.7607180726505606,True,16
8,0.5097894668579102,0.7779815480360027,0.7757466638395655,True,16
9,0.5179189443588257,0.7869681684260919,0.7828480821115854,True,16
10,0.5182499885559082,0.7878868945999317,0.7835382630983162,True,16
11,0.5026028752326965,0.7825188585267293,0.7792589607177043,False,15
12,0.48694178462028503,0.7743981639556617,0.7719628035941558,False,14
13,0.4762129485607147,0.7676326784915994,0.766310136798913,False,13
14,0.47072020173072815,0.764330896303623,0.7641078149282334,False,12
15,0.4736577570438385,0.7643872166820962,0.7651908556269365,False,11
16,0.4732153117656708,0.7672384358422888,0.7688634325175902,False,10
17,0.47022122144699097,0.7727859931218738,0.7748039962529358,False,9
18,0.46119681000709534,0.7813607707443795,0.7828704494663414,False,8
19,0.45187458395957947,0.7921003629144387,0.793111912256715,True,16
20,0.4454134404659271,0.8023823520094054,0.80263169866018,True,16
21,0.44321468472480774,0.811196491240421,0.8095711131966645,True,16
22,0.4434129595756531,0.8158042022042388,0.8124141459437217,True,16
23,0.4418008029460907,0.8171699713822076,0.8137591739887046,True,16
24,0.43911343812942505,0.815811242251548,0.8128818828108145,False,15
25,0.43185362219810486,0.8126608210807176,0.8107760652041329,False,14
26,0.42721810936927795,0.8093027185142685,0.8087163722880817,False,13
27,0.42462158203125,0.8071203038484419,0.8074002392717649,False,12
28,0.4232626259326935,0.8071308639194056,0.807685005245581,False,11
29,0.42246973514556885,0.8089823963617035,0.8095786210471807,False,10
30,0.4212576150894165,0.8127910619559362,0.8128880612454757,False,9
31,0.4142402410507202,0.8175923742207547,0.8172794322416272,True,16
32,0.41279181838035583,0.8227421688273745,0.821412434690141,True,16
33,0.40873777866363525,0.8263537130969519,0.824288362535015,True,16
34,0.40973666310310364,0.8282826860596504,0.8259169332176537,True,16
35,0.407150536775589,0.8286452484960699,0.8265651743777815,True,16
36,0.4060364067554474,0.8276385217308662,0.8263285082981302,False,15
37,0.4035557210445404,0.8264909940194797,0.8262846705186937,False,14
38,0.3990536332130432,0.8249985039899468,0.8255422717384525,False,13
39,0.400414377450943,0.8247521023341278,0.8258392903480827,False,12
40,0.3973748981952667,0.8261249115594057,0.8270474513768616,False,11
41,0.39591073989868164,0.8287790093949431,0.8288347733961061,True,16
42,0.3939782679080963,0.8316161484605177,0.8307041325237667,True,16
43,0.39268240332603455,0.8337739229607624,0.8322594472500993,True,16
44,0.3925645053386688,0.8347137692765295,0.8330874826236709,True,16
45,0.38958626985549927,0.8349249706958031,0.8334449730349395,True,16
46,0.3891187012195587,0.834143525444491,0.8335222461096441,False,15
47,0.38781002163887024,0.8330945583954323,0.8332159060380055,False,14
48,0.3880504071712494,0.8325348746343576,0.8332602510614648,False,13
49,0.3855075538158417,0.8329819176384865,0.83381248758237,False,12
50,0.3855336606502533,0.8343864070766556,0.8346369126584664,False,11
51,0.3843950033187866,0.8360267380996802,0.8356902032380896,True,16
52,0.38313165307044983,0.8371496256454843,0.8363095923662458,True,16
53,0.3821770250797272,0.8378184301398505,0.8369538495291471,True,16
54,0.3813540041446686,0.8375579483894131,0.8370850508269072,False,15
55,0.37788984179496765,0.8371461056218297,0.8372182788552656,False,14
56,0.37853556871414185,0.8368222634456104,0.8371477696065022,False,13
57,0.3761884272098541,0.8372446662841573,0.8376498733834413,False,12
58,0.37648555636405945,0.8381598724343429,0.8382252429709399,True,16
59,0.3739998936653137,0.8392721999091833,0.8386977848195267,True,16
60,0.37212616205215454,0.8400043648293316,0.8395093007905527,True,16
61,0.3736649751663208,0.8400219649476044,0.8398478791997912,True,16
62,0.37265413999557495,0.839736843031585,0.839948618570544,False,15
63,0.37147513031959534,0.8392405196962923,0.8397300287878755,False,14
64,0.36926308274269104,0.8392510797672561,0.8399944912009688,False,13
65,0.3685307800769806,0.839634762345603,0.8401884832574253,False,12
66,0.3674653172492981,0.8404267676678787,0.840555525282321,True,16
67,0.3678063154220581,0.8410674119730084,0.8408224397955826,True,16
68,0.36515548825263977,0.8411307723987905,0.8408699565793828,True,16
69,0.36705392599105835,0.8408984508375895,0.8409475475728849,False,15
70,0.36671656370162964,0.8405376484129974,0.8408197452603592,False,14
71,0.3644406795501709,0.8407154096075525,0.8410143779062031,False,13
72,0.3633915185928345,0.8412645332976638,0.8411573127132286,True,16
73,0.36402803659439087,0.8421163790220672,0.8415060875123067,True,16
74,0.3637567460536957,0.842626782451978,0.8416677873505118,True,16
75,0.3617216944694519,0.8425035816240685,0.8417947850870903,False,15
76,0.3603462874889374,0.8420530185962851,0.8418413067146177,False,14
77,0.3609902560710907,0.8416763760652471,0.841784849888314,False,13
78,0.3603157103061676,0.8420178183597393,0.8419626514412284,False,12
79,0.35644271969795227,0.8429611846991611,0.8428455778414599,True,16
80,0.3582932651042938,0.8433941476086719,0.8431611760180193,True,16
81,0.35664114356040955,0.8436053490279455,0.8433442445816495,True,16
82,0.35606545209884644,0.8433519073248172,0.8434771243632109,False,15
83,0.35587796568870544,0.8429682247464703,0.8432830808378816,False,14
84,0.353426992893219,0.8429365445335794,0.8432609167047369,False,13
85,0.35407397150993347,0.8434997483183088,0.8436412912974417,False,12
86,0.35106807947158813,0.8437813502106735,0.8439305018013342,True,16
87,0.35128554701805115,0.8440101517482198,0.8439351289526467,True,16
88,0.3518795371055603,0.8438517506837647,0.8435993135776949,False,15
89,0.3507172763347626,0.8433730274667446,0.8432438981882432,False,14
90,0.34889206290245056,0.8434645480817631,0.8433985821639979,False,13
91,0.34798097610473633,0.84384823066011,0.8436655658810779,False,12
92,0.3478400409221649,0.8440875922686201,0.8438114977843769,True,16
93,0.3481277525424957,0.8440453519847654,0.8438215927025793,False,15
94,0.3463505208492279,0.8439221511568559,0.8440155891743656,False,14
95,0.345449298620224,0.843897510991274,0.8441382281074117,False,13
96,0.34459975361824036,0.8442671134750025,0.8443214141157411,True,16
97,0.3445359468460083,0.844597995698531,0.8444380147244643,True,16
98,0.34287941455841064,0.8445627954619855,0.8442879057806689,False,15
99,0.34207725524902344,0.8443304739007848,0.844397694549283,False,14
100,0.3423554599285126,0.8443023137115482,0.8444963310449206,False,13
