relation,num_edges,avg_degree,isolated_user_count,same_label_ratio,fake_fake_ratio,fake_real_ratio,real_real_ratio,avg_base_score,avg_abnormal_pair,avg_tns_score,avg_soft_weight_factor,avg_rank_score
UPU,129868,19.4909200060033,1,0.5342116610712415,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.03602778911590576,0.21602383255958557,0.000352312286850065,1.1080118417739868,0.04003070294857025
UTU,129559,19.520717191502186,27,0.5061554967235005,0.2863405861422209,0.49384450327649954,0.21981491058127958,0.12361995875835419,0.22234687209129333,0.0002154091198462993,1.1111732721328735,0.13773977756500244
USU,133280,20.0,0,0.6019732893157262,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.9952452182769775,0.22329336404800415,2.4573702830821276e-05,1.1116466522216797,1.1062874794006348
LogicAE_CB,105264,16.393708145148732,243,0.6135335917312662,0.2883986928104575,0.38646640826873385,0.32513489892080866,0.6297605037689209,0.24029116332530975,0.0005897694500163198,1.120145559310913,0.7047957181930542
