experiment_name,strategy,soft_mode,val_auc,val_ap,AUC,AP,F1,Recall,Precision,test_threshold,delta_auc_vs_d1,delta_ap_vs_d1,delta_f1_vs_d1,notes
D1_EGAT_Base_LogicAE_CB,reference_only,reference_only,0.8432005463076712,0.8430096803332938,0.8563709149922789,0.858368711617606,0.7781715095676824,0.823088455772114,0.7379032258064516,0.42550843954086304,0.0,0.0,0.0,reference row from D1 output
D1_K0_OriginalWeight,K0_original_d1_weight,fixed_original,0.8433976676323265,0.8432787483620978,0.8556089271705977,0.8581022806615167,0.7774647887323943,0.8275862068965517,0.7330677290836654,0.4065873622894287,-0.0007619878216812426,-0.0002664309560892475,-0.0007067208352881105,Exact D1 edge files and exact original D1 edge_weight.
D1_K1_AbnormalSoftWeight,K1_abnormal_soft_weight,abnormal_soft,0.8389835579695096,0.8349248531786602,0.8543479384745408,0.8542523142716147,0.7763426240652618,0.856071964017991,0.7101990049751243,0.3752644956111908,-0.0020229765177380843,-0.0041163973459912295,-0.001828885502420663,Exact D1 edge files; edge_weight = D1 edge_weight * (1 + alpha * abnormal_pair).
D1_K2_AbnormalTNSSoftWeight,K2_abnormal_tns_soft_weight,abnormal_tns_soft,0.8375861085786497,0.8330751625373121,0.8523609259837847,0.8523783229018125,0.7741496598639456,0.8530734632683659,0.7085927770859277,0.38102346658706665,-0.0040099890084942524,-0.005990388715793493,-0.004021849703736868,Exact D1 edge files; edge_weight additionally uses TNS and abnormal*TNS interaction.
