edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,129868,19.4909200060033,1,32468,60491,36909,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.5342116610712415,0.0360277895355395
UTU,129559,19.520717191502186,27,37095,63981,28483,0.2863174306686529,0.4938367847853102,0.21984578454603695,0.5061632152146899,0.12361996515179074
USU,133280,20.0,0,38702,53049,41529,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.6019732893157262,0.9952451243585445
TextSim,133280,20.0,0,48030,33124,52126,0.36036914765906364,0.2485294117647059,0.3911014405762305,0.7514705882352941,0.9967384110809732
CB,133280,20.0,0,48030,33124,52126,0.36036914765906364,0.2485294117647059,0.3911014405762305,0.7514705882352941,0.5943946441442741
LogicAE_CB,109676,16.888820449645827,170,36211,37321,36144,0.33016339034975745,0.3402841095590649,0.32955250009117765,0.6597158904409351,0.6270208416451962
TNSGuided_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSConfirmed_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSSoftHeavy_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
