relation,k,candidate_topM,num_edges,avg_degree,isolated_user_count,same_label_ratio,fake_fake_ratio,fake_real_ratio,real_real_ratio,avg_base_score,avg_abnormal_pair,avg_tns_score,avg_rank_score
UPU,20,20,129868,19.4909200060033,1,0.5342116610712415,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.03602779284119606,0.21602386236190796,0.005627915728837252,0.04018871486186981
UTU,20,20,129559,19.520717191502186,27,0.5061477782323112,0.2863174306686529,0.49385222176768884,0.21983034756365827,0.12361996620893478,0.2223421186208725,0.0025691213086247444,0.13791823387145996
USU,20,20,133280,20.0,0,0.6019732893157262,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.9952452182769775,0.22329333424568176,5.158313433639705e-05,1.106301188468933
LogicAE_CB,20,20,105264,16.393708145148732,243,0.6135335917312662,0.2883986928104575,0.38646640826873385,0.32513489892080866,0.6297605037689209,0.24029116332530975,0.0001284337049582973,0.7048320174217224
