relation,k,candidate_topM,min_rank_score,mean_rank_score,max_rank_score,mean_base_score,mean_abnormal_pair,mean_tns_score
UPU,20,20,0.0,0.04018871486186981,0.6449482440948486,0.03602779284119606,0.21602386236190796,0.005627915728837252
UTU,20,20,0.021486077457666397,0.13791823387145996,0.7037426233291626,0.12361996620893478,0.2223421186208725,0.0025691213086247444
USU,20,20,0.3881150484085083,1.106301188468933,1.2598620653152466,0.9952452182769775,0.22329333424568176,5.158313433639705e-05
LogicAE_CB,20,20,0.4122334122657776,0.7048320174217224,1.4411438703536987,0.6297605037689209,0.24029116332530975,0.0001284337049582973
