review_encoder,model_name,edge_set,threshold,val_auc,val_ap,auc,ap,recall,precision,f1,accuracy,num_train_users,num_val_users,num_test_users,num_fake_train,num_fake_val,num_fake_test
llm_masked_logic_initial,relation_attention,MLP_no_graph,0.2342173308134079,0.8335169612339794,0.8344357148684927,0.8177477977652854,0.8070096590639141,0.8335832083958021,0.6788766788766789,0.7483176312247645,0.719640179910045,4264,1066,1334,2132,533,667
llm_masked_logic_initial,relation_attention,Base,0.16263341903686523,0.834924970695803,0.8313535674197525,0.8195280171008948,0.8118104879049169,0.8110944527736131,0.6900510204081632,0.7456926257753274,0.7233883058470765,4264,1066,1334,2132,533,667
llm_masked_logic_initial,relation_attention,Base_TextSim,0.21728114783763885,0.8352593729429861,0.835204299909159,0.8218791653648438,0.8141732774437134,0.7991004497751124,0.7031662269129287,0.7480701754385964,0.7308845577211395,4264,1066,1334,2132,533,667
llm_masked_logic_initial,relation_attention,Base_CB,0.12819740176200867,0.8346011285195836,0.8337708217481685,0.820899145629584,0.8128514105528308,0.8335832083958021,0.6723095525997581,0.7443105756358769,0.7136431784107946,4264,1066,1334,2132,533,667
llm_masked_logic_initial,relation_attention,Base_LogicAE_CB,0.15557599067687988,0.8359035372717706,0.8349107880479897,0.8220207737210854,0.8121615676862304,0.8215892053973014,0.6927939317319848,0.7517146776406035,0.7286356821589205,4264,1066,1334,2132,533,667
llm_masked_logic_initial,relation_attention,Full,0.1352812647819519,0.836674422452119,0.8375275658025577,0.8220859585199903,0.8143775988592583,0.8740629685157422,0.654320987654321,0.748395378690629,0.7061469265367316,4264,1066,1334,2132,533,667
llm_masked_logic_graph_reweighted,relation_attention,MLP_no_graph,0.22916638851165771,0.8307924629253508,0.8318625064950295,0.8231761180878827,0.8082379590100662,0.8140929535232384,0.6908396946564885,0.7474191328286304,0.724887556221889,4264,1066,1334,2132,533,667
llm_masked_logic_graph_reweighted,relation_attention,Base,0.1663047820329666,0.8343582468874191,0.8314998721891427,0.819876418612283,0.8121925783154382,0.8170914542728636,0.6803995006242197,0.7425068119891008,0.7166416791604198,4264,1066,1334,2132,533,667
llm_masked_logic_graph_reweighted,relation_attention,Base_TextSim,0.1274445801973343,0.8350728116892945,0.8335719012169425,0.8217285660018566,0.8133552931197114,0.8305847076461769,0.6772616136919315,0.7461279461279461,0.717391304347826,4264,1066,1334,2132,533,667
llm_masked_logic_graph_reweighted,relation_attention,Base_CB,0.23473668098449707,0.8354952145278417,0.8324792330866602,0.8218297148277435,0.8127193444296915,0.815592203898051,0.6903553299492385,0.747766323024055,0.724887556221889,4264,1066,1334,2132,533,667
llm_masked_logic_graph_reweighted,relation_attention,Base_LogicAE_CB,0.18825124204158783,0.8359246574136978,0.8354007823435086,0.8227760182877077,0.810274043636426,0.8335832083958021,0.6906832298136646,0.7554347826086957,0.7301349325337332,4264,1066,1334,2132,533,667
llm_masked_logic_graph_reweighted,relation_attention,Full,0.24613283574581146,0.8369349042025561,0.8373967476045966,0.82319634785306,0.8142555073034451,0.8245877061469266,0.6926952141057935,0.7529089664613279,0.7293853073463268,4264,1066,1334,2132,533,667
