edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,129868,19.4909200060033,1,32468,60491,36909,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.5342116610712415,0.0360277895355395
UTU,129559,19.520717191502186,27,37090,63987,28482,0.28627883821270617,0.4938830957324462,0.2198380660548476,0.5061169042675537,0.12361996515179074
USU,133280,20.0,0,38702,53049,41529,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.6019732893157262,0.9952451243585445
TextSim,133280,20.0,0,43980,39539,49761,0.3299819927971189,0.29666116446578633,0.37335684273709485,0.7033388355342137,0.9973735420549867
CB,133280,20.0,0,43980,39539,49761,0.3299819927971189,0.29666116446578633,0.37335684273709485,0.7033388355342137,0.5992510374702539
LogicAE_CB,88504,14.892142015816928,721,33005,34995,20504,0.3729209979209979,0.3954058573623791,0.23167314471662298,0.6045941426376209,0.6374998073406334
TNSGuided_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSConfirmed_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSSoftHeavy_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
