relation,selection_policy,d1_edges,selected_edges,directed_pair_overlap,new_edges_ratio,dropped_edges_ratio,d1_pair_hash,selected_pair_hash,topology_exact_match
UPU,pool_top100_select_top20_by_diagnostic_gate_score,129868,129868,0.8085902608802784,0.19140973911972156,0.19140973911972156,8c978ff88d16cb9f7164ccaae29c7402b75fe93a1ef4596239b5c9438506d519,3cbdde5219ccf2ef0f223e479a13bd392275d8d505f49e1f97011fa85f1046c5,False
UTU,pool_top100_select_top20_by_diagnostic_gate_score,129559,129559,0.8285182812463819,0.17148171875361803,0.17148171875361803,61cb8d21eac39c374d94f4d15ea4233b6e123385d407805e491f43fee3c290ad,733bab839509643fdbd452a806a8ea81ca2c4b0d1e3b4c98f2d508ae9a5f865b,False
USU,pool_top100_select_top20_by_diagnostic_gate_score,133280,133280,0.7955282112845138,0.20447178871548619,0.20447178871548619,8f6a8567db3c1b9f37361d0e0caf0c362609eaae55737bfe6e288f89c5d9ac69,46f5008d3a5e9a40c9b7d3ff30f3b4be8653b33ec0778e913139b7c490dfc667,False
LogicAE_CB,pool_top100_select_top20_by_diagnostic_gate_score,105264,130912,0.5708599331205351,0.5409817281838182,0.429140066879465,7356bfdbb7dd507a189705306d423222da67772a4cdaa5b05a3db0ab4bac2721,264ee7f1b445af41e84c71017fbd0ed5f0b8978a9dca13fba2b278b36b15c04e,False
