relation,num_edges,avg_degree,isolated_user_count,same_label_ratio,fake_fake_ratio,fake_real_ratio,real_real_ratio,avg_edge_weight,avg_pair_abnormal_score,avg_base_rank_score,avg_diagnostic_gate_score
UPU,129868,19.4909200060033,1,0.505744294206425,0.39469307296639666,0.49425570579357503,0.11105122124002834,0.016604605430609765,0.26547178626060486,0.5187723636627197,0.480621337890625
UTU,129559,19.520717191502186,27,0.4653169598406903,0.3389498220887781,0.5346830401593097,0.12636713775191225,0.09371092384000397,0.260512113571167,0.5986001491546631,0.5258987545967102
USU,133280,20.0,0,0.5656812725090036,0.4320228091236495,0.4343187274909964,0.13365846338535414,0.9843507949796979,0.27462270855903625,0.49630793929100037,0.47168073058128357
LogicAE_CB,130912,19.680096211665663,12,0.6094093742361281,0.38350953312148617,0.39059062576387193,0.2258998411146419,0.6059469595901164,0.265511691570282,0.46217694878578186,0.45153969526290894
