pattern_type,count_all,count_fake,count_real,positive_rate_all_reviews,positive_rate_fake_reviews,positive_rate_real_reviews
exaggeration,21213,7931,13282,0.5347770186805153,0.534650128084131,0.5348528168163331
lack_of_detail,8107,2998,5109,0.20437643381148057,0.20210327625724686,0.2057343051584585
inconsistent_claim,3369,1262,2107,0.08493205939445887,0.08507482809761359,0.08484677646679821
overly_absolute,2943,1106,1837,0.07419265384324501,0.07455844681137927,0.07397414730399066
template_like,2460,921,1539,0.06201628557743212,0.0620870972091142,0.06197398622800306
generic_promotion,1681,617,1064,0.042377795144578616,0.041593636241067815,0.04284621270084162
sentiment_rating_mismatch,1333,488,845,0.033604759623868705,0.03289739786975866,0.03402730237989772
generic_attack,13,6,7,0.0003277283384173242,0.00040447620331670486,0.00028188297829501066
