split,num_reviews,num_fake_reviews,num_real_reviews,mask_hit_rate,fake_mask_hit_rate,real_mask_hit_rate,avg_pattern_count,llm_error_rate
test,7881,3095,4786,0.6329146047455907,0.6290791599353797,0.6353949017969076,1.0464408070041873,0.0
train,25264,9399,15865,0.6314122862571248,0.636557080540483,0.6283643239836118,1.0328134895503482,0.0
val,6522,2340,4182,0.6275682306041092,0.6226495726495727,0.6303204208512674,1.039405090463048,0.0
