relation,quantile,before,after
CB,0.0,0.3901495337486267,0.11966714262962341
CB,0.1,0.39821585118770597,0.22383368462324144
CB,0.25,0.5972796380519867,0.27615857869386673
CB,0.5,0.5981041193008423,0.3504730612039566
CB,0.75,0.5986796170473099,0.4439210817217827
CB,0.9,0.798372769355774,0.5121913015842438
CB,1.0,0.9997684955596924,0.942291796207428
