review_encoder,model_name,edge_set,threshold,val_auc,val_ap,auc,ap,recall,precision,f1,accuracy,num_train_users,num_val_users,num_test_users,num_fake_train,num_fake_val,num_fake_test,backbone,relation_model,use_abnormal_edge_weight,use_abnormal_gate,use_abnormal_value_gate,use_abnormal_attention_bias,abnormal_score_source
llm_masked_logic,feature_only_logreg,Behavior_LR,0.365254647613237,0.81611396428584,0.790336416620484,0.8307870052979507,0.8237397750759823,0.881559220389805,0.6821345707656613,0.7691301504251145,0.7353823088455772,4264,1066,1334,2132,533,667,,,,,,,
llm_masked_logic,feature_only_mlp,Behavior_MLP,0.3296913206577301,0.7756618524476485,0.7430084749079346,0.7823625668425158,0.76052068309778,0.8200899550224887,0.6646415552855407,0.7342281879194631,0.7031484257871065,4264,1066,1334,2132,533,667,,,,,,,
llm_masked_logic,relation_attention,MLP_no_graph,0.38673120737075806,0.8509164381584645,0.8514214774768855,0.8511943428585558,0.8445766300824621,0.8500749625187406,0.7114178168130489,0.7745901639344263,0.7526236881559221,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
llm_masked_logic,relation_attention,Base,0.222907155752182,0.8523631678804882,0.8413669324931842,0.851124662556278,0.8463745255669457,0.9160419790104948,0.6655773420479303,0.7709779179810725,0.7278860569715142,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
llm_masked_logic,relation_attention,Base_TextSim,0.28742915391921997,0.8521378863665963,0.8519982689378336,0.8520889480297332,0.8502435096398018,0.9325337331334332,0.6595970307529162,0.7726708074534161,0.7256371814092953,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
llm_masked_logic,relation_attention,Base_CB,0.2906511723995209,0.8541689400152769,0.8499948649974405,0.854127658809276,0.8543126447661387,0.8845577211394303,0.6973995271867612,0.7799074686054197,0.7503748125937032,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
llm_masked_logic,relation_attention,Base_LogicAE_CB,0.32719847559928894,0.8527926107663444,0.8447687486396528,0.8501221653041544,0.8448884155504262,0.8710644677661169,0.6933174224343676,0.772093023255814,0.7428785607196402,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
llm_masked_logic,relation_attention,Base_TNSGuided_LogicAE_CB,0.43258750438690186,0.8520991661063962,0.8449840651515799,0.8548716646174663,0.8570278456972661,0.8275862068965517,0.7225130890052356,0.7714884696016772,0.7548725637181409,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
llm_masked_logic,relation_attention,Base_CB_TNSGuided_LogicAE_CB,0.4092227816581726,0.8544787020968782,0.8559408720123571,0.8551661200883817,0.8591549259222788,0.8365817091454273,0.7218628719275549,0.775,0.7571214392803598,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
llm_masked_logic,relation_attention,Full,0.2662220895290375,0.85518270682779,0.8562540108405755,0.8549975387119033,0.8530543529664463,0.9025487256371814,0.6927502876869965,0.7838541666666666,0.7511244377811095,4264,1066,1334,2132,533,667,current_relation,relation_attn,False,False,False,False,auto
