relation,k,min_rank_score,mean_rank_score,max_rank_score,mean_base_score,mean_abnormal_pair,mean_tns_score
UPU,10,0.0,0.0544702651435702,0.6449482232147679,0.04866453632712364,0.22099384468632113,0.0005828490284997583
UTU,10,0.03024144844953432,0.16073615237177366,0.7037425497178619,0.14334933459758759,0.23285930790602674,0.0003420378366081925
USU,20,0.38811506227269943,1.1063070241338357,1.308258419777032,0.9952452182769775,0.22329335025573627,2.45737037815126e-05
LogicAE_CB,20,0.4122333900780325,0.7049579760633384,1.5197899919140854,0.6297605037689209,0.24029117274764586,0.0005897694231646148
