relation,k,num_edges,avg_degree,isolated_user_count
UPU,10,66176,9.931862524388414,1
UTU,10,65499,9.868766008738888,27
USU,20,133280,20.0,0
LogicAE_CB,20,105264,16.393708145148732,243
