edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,66176,9.931862524388414,1,17741,30447,17988,0.26808812862669246,0.46009127176015474,0.2718205996131528,0.5399087282398453,0.05447026342153549
UTU,65499,9.868766008738888,27,21953,30769,12777,0.3351654223728607,0.46976289714346786,0.19507168048367152,0.5302371028565321,0.16073614358901978
USU,133280,20.0,0,38702,53049,41529,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.6019732893157262,1.1063069105148315
LogicAE_CB,105264,16.393708145148732,243,30358,40681,34225,0.2883986928104575,0.38646640826873385,0.32513489892080866,0.6135335917312662,0.704957902431488
