review_encoder,model_name,edge_set,threshold,val_auc,val_ap,auc,ap,recall,precision,f1,accuracy,num_train_users,num_val_users,num_test_users,num_fake_train,num_fake_val,num_fake_test,backbone,relation_model,use_abnormal_edge_weight,use_abnormal_gate,use_abnormal_value_gate,use_abnormal_attention_bias,abnormal_score_source,use_self_graph_gate,use_relation_sigmoid_gate,use_self_aux_loss,self_aux_lambda,val_recall,val_precision,val_f1,val_f2
llm_masked_logic,feature_only_logreg,Behavior_LR,0.365254647613237,0.81611396428584,0.790336416620484,0.8307870052979507,0.8237397750759823,0.881559220389805,0.6821345707656613,0.7691301504251145,0.7353823088455772,4264,1066,1334,2132,533,667,,,,,,,,,,,,,,,
llm_masked_logic,feature_only_mlp,Behavior_MLP,0.3296913206577301,0.7756618524476485,0.7430084749079346,0.7823625668425158,0.76052068309778,0.8200899550224887,0.6646415552855407,0.7342281879194631,0.7031484257871065,4264,1066,1334,2132,533,667,,,,,,,,,,,,,,,
llm_masked_logic,current_egat_edge_aware_gat,Base_LogicAE_CB,0.3240765333175659,0.8459813649947728,0.8417064726794112,0.8502075798682367,0.8521851597845138,0.848575712143928,0.7075,0.7716428084526245,0.7488755622188905,4264,1066,1334,2132,533,667,current_egat,edge_aware_gat,False,False,False,False,auto,False,False,False,0.3,0.8611632270168855,0.7171875,0.782608695652174,0.827922077922078
