edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,129868,19.4909200060033,1,32468,60491,36909,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.5342116610712415,0.0360277895355395
UTU,129559,19.520717191502186,27,37092,63985,28482,0.2862942751950849,0.49386765875006755,0.2198380660548476,0.5061323412499324,0.12361996515179074
USU,133280,20.0,0,38702,53049,41529,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.6019732893157262,0.9952451243585445
TextSim,133280,20.0,0,48554,30047,54679,0.3643007202881152,0.22544267707082832,0.4102566026410564,0.7745573229291717,0.9928389339319834
CB,133280,20.0,0,48554,30047,54679,0.3643007202881152,0.22544267707082832,0.4102566026410564,0.7745573229291717,0.603847758446743
LogicAE_CB,86220,14.062958734301093,533,35286,24607,26327,0.4092553931802366,0.28539781953143123,0.3053467872883322,0.7146021804685688,0.6369711466292941
TNSGuided_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSConfirmed_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSSoftHeavy_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
