edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,129868,19.4909200060033,1,33057,60269,36542,0.2545430745064219,0.46407891089413866,0.28137801459943945,0.5359210891058613,0.036018725484609604
UTU,129559,19.520717191502186,27,38334,63804,27421,0.295880641252248,0.49247061184479657,0.2116487469029554,0.5075293881552034,0.12358538806438446
USU,133280,20.0,0,55838,55538,21904,0.41895258103241295,0.4167016806722689,0.16434573829531812,0.5832983193277311,0.9950308799743652
LogicAE_CB,130912,19.680096211665663,12,34898,49967,46047,0.26657602053287704,0.3816838792471278,0.35174010021999513,0.6183161207528721,0.7148909568786621
