edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,129868,19.4909200060033,1,32468,60491,36909,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.5342116610712415,0.0360277895355395
UTU,129559,19.520717191502186,27,37095,63981,28483,0.2863174306686529,0.4938367847853102,0.21984578454603695,0.5061632152146899,0.12361996515179074
USU,133280,20.0,0,38702,53049,41529,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.6019732893157262,0.9952451243585445
TextSim,133280,20.0,0,49997,28776,54507,0.3751275510204082,0.215906362545018,0.40896608643457383,0.784093637454982,0.9984939202102794
CB,133280,20.0,0,49997,28776,54507,0.3751275510204082,0.215906362545018,0.40896608643457383,0.784093637454982,0.6045191167035594
LogicAE_CB,96900,16.434871099050202,768,35202,27692,34006,0.36328173374613004,0.2857791537667699,0.3509391124871001,0.7142208462332301,0.6328123435666565
TNSGuided_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSConfirmed_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
TNSSoftHeavy_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
