relation,min_base_score,mean_base_score,max_base_score,min_soft_weight_factor,mean_soft_weight_factor,max_soft_weight_factor,min_rank_score,mean_rank_score,max_rank_score,mean_abnormal_pair,mean_tns_score
UPU,0.0,0.03602778911590576,0.5004886984825134,1.0319335460662842,1.1081159114837646,1.5198196172714233,0.0,0.040041740983724594,0.6007404923439026,0.21602383255958557,0.000352312286850065
UTU,0.019520632922649384,0.12361995875835419,0.5163264870643616,1.03212571144104,1.1112385988235474,1.5198196172714233,0.021486077457666397,0.13775482773780823,0.5923133492469788,0.22234687209129333,0.0002154091198462993
USU,0.3323341906070709,0.9952452182769775,1.0,1.0312546491622925,1.111654281616211,1.3082584142684937,0.3881150484085083,1.106294870376587,1.3082584142684937,0.22329336404800415,2.4573702830821276e-05
LogicAE_CB,0.3998846411705017,0.6297605037689209,0.9999804496765137,1.0295933485031128,1.1203182935714722,1.5198196172714233,0.4122334122657776,0.7049579620361328,1.5197899341583252,0.24029116332530975,0.0005897694500163198
