route,output_dir,model_name,graph_mode,edge_set,backbone,relation_model,use_abnormal_edge_weight,use_abnormal_gate,use_abnormal_attention_bias,abnormal_score_source,AUC,AP,F1,Recall,Precision,best_epoch,seed,notes
A,/home/xyz/HuChao (2)/Bert-TextClassification/graph/outputs/routeA_current_topk_egat_20260503_002004/A0_current_EGAT_Base_CB,current_egat_edge_aware_gat,current,Base_CB,current_egat,edge_aware_gat,False,False,False,auto,0.8518259610824274,0.8474090197070194,0.7772446881425634,0.8500749625187406,0.7159090909090909,,42,
A,/home/xyz/HuChao (2)/Bert-TextClassification/graph/outputs/routeA_current_topk_egat_20260503_002004/A1_current_EGAT_Base_LogicAE_CB,current_egat_edge_aware_gat,current,Base_LogicAE_CB,current_egat,edge_aware_gat,False,False,False,auto,0.8555999361638522,0.8564474906285124,0.7707049965776865,0.8440779610194903,0.7090680100755667,,42,
A,/home/xyz/HuChao (2)/Bert-TextClassification/graph/outputs/routeA_current_topk_egat_20260503_002004/A2_current_EGAT_Full,current_egat_edge_aware_gat,current,Full,current_egat,edge_aware_gat,False,False,False,auto,0.8454625760582977,0.8421998380125781,0.7698686938493434,0.8350824587706147,0.7141025641025641,,42,
