relation,k,min_rank_score,mean_rank_score,max_rank_score,mean_base_score,mean_abnormal_pair,mean_tns_score
UPU,20,0.0,0.040196505077457825,0.6449482232147679,0.03602779284119606,0.21602383579656842,0.00035231226614716477
UTU,20,0.02148607659132865,0.1379290591826876,0.7037425497178619,0.12361996620893478,0.22234287051721974,0.00021540910519531644
USU,20,0.38811506227269943,1.1063070241338357,1.308258419777032,0.9952452182769775,0.22329335025573627,2.45737037815126e-05
LogicAE_CB,20,0.4122333900780325,0.7049579760633384,1.5197899919140854,0.6297605037689209,0.24029117274764586,0.0005897694231646148
