edge_type,num_edges,avg_degree,isolated_user_count,fake_fake_edges,fake_real_edges,real_real_edges,fake_fake_ratio,fake_real_ratio,real_real_ratio,same_label_ratio,avg_weight
UPU,129868,19.4909200060033,1,32468,60491,36909,0.2500077001262821,0.4657883389287584,0.2842039609449595,0.5342116610712415,0.0360277895355395
UTU,129559,19.520717191502186,27,37093,63986,28480,0.2863019936862742,0.49387537724125685,0.2198226290724689,0.5061246227587431,0.12361996515179074
USU,133280,20.0,0,38702,53049,41529,0.2903811524609844,0.3980267106842737,0.3115921368547419,0.6019732893157262,0.9952451243585445
TextSim,133280,20.0,0,39233,45004,49043,0.2943652460984394,0.33766506602641055,0.36796968787515005,0.6623349339735894,0.9948336887894487
CB,133280,20.0,0,39233,45004,49043,0.2943652460984394,0.33766506602641055,0.36796968787515005,0.6623349339735894,0.6086027432228623
LogicAE_CB,85895,14.53630055847013,755,27631,33248,25016,0.32168345072472204,0.38707724547412536,0.2912393038011526,0.6129227545258746,0.6378413469840403
TNSGuided_LogicAE_CB,0,0.0,6664,0,0,0,0.0,0.0,0.0,0.0,0.0
