epoch,train_loss,val_auc,val_ap,improved,patience_left
1,0.6738124489784241,0.6892241515862987,0.6795413147532562,True,16
2,0.5580194592475891,0.6968661229403461,0.6914108501703733,True,16
3,0.5582269430160522,0.7006712685109244,0.6968085396511925,True,16
4,0.5751813650131226,0.7043250530643566,0.7019692525860671,True,16
5,0.5756540298461914,0.7085174012369363,0.7069853953779831,True,16
6,0.5606517791748047,0.7136812759381742,0.7124958287043874,True,16
7,0.5421366095542908,0.7211190859202574,0.7211083363952451,True,16
8,0.525521457195282,0.7313271545184783,0.7311134331145499,True,16
9,0.510341465473175,0.744108360408182,0.7430996381563175,True,16
10,0.5062313079833984,0.7579455733942531,0.7561130602956617,True,16
11,0.5073174834251404,0.7691955689942236,0.7662650549572576,True,16
12,0.50870281457901,0.7757322529207397,0.7730504487514036,True,16
13,0.5054872632026672,0.7771385023707359,0.7742747448176712,True,16
14,0.4980570673942566,0.7750599284027189,0.772466190733992,False,15
15,0.48721206188201904,0.7720432681307619,0.7705100484421535,False,14
16,0.47788700461387634,0.7690934883082415,0.7687045610229147,False,13
17,0.4749780595302582,0.7669638739972332,0.7673281442894127,False,12
18,0.4713999032974243,0.7664569905909767,0.7676715277480604,False,11
19,0.46838849782943726,0.7676960389173816,0.7701044549236571,False,10
20,0.46725499629974365,0.7701494954046091,0.7739328272433892,False,9
21,0.46319928765296936,0.7748416869361362,0.7801159658262192,False,8
22,0.45773881673812866,0.7806286058242311,0.7866673938237989,True,16
23,0.4514526426792145,0.7876123327548761,0.794801332457551,True,16
24,0.44682714343070984,0.7942827775802653,0.8016039382978666,True,16
25,0.44439488649368286,0.8007596211046538,0.8080997588117536,True,16
26,0.44120141863822937,0.8052863715244167,0.8118419223271072,True,16
27,0.4399788975715637,0.8081446307319184,0.8139325612364077,True,16
28,0.436235249042511,0.8092569582067591,0.8146971499504048,True,16
29,0.4315835237503052,0.8090211166219037,0.814142261114654,False,15
30,0.42792588472366333,0.8081939110630824,0.8131801327578702,False,14
31,0.4241672456264496,0.8068422219797317,0.8117853224715229,False,13
32,0.4212307035923004,0.8060924569413106,0.811209403826305,False,12
33,0.4199901819229126,0.8063951789756028,0.8115831201204293,False,11
34,0.4187333285808563,0.8079087891470631,0.8132320309755875,False,10
35,0.4154623746871948,0.810327045397745,0.8157199749739737,True,16
36,0.41374266147613525,0.8131923446525561,0.8187389003300422,True,16
37,0.4124079644680023,0.8159731633396576,0.8212930959744023,True,16
38,0.4081689417362213,0.8182118983839571,0.8230109938422974,True,16
39,0.4067850112915039,0.8198663095015999,0.8244206996704864,True,16
40,0.40630313754081726,0.8206512747765666,0.8250311743613148,True,16
41,0.40537792444229126,0.8206512747765666,0.8251036278910977,False,15
42,0.40497517585754395,0.8203731929078564,0.8251927722201216,False,14
43,0.4021751582622528,0.8197184685081085,0.8249218272928469,False,13
44,0.40110453963279724,0.8194087064265072,0.8247006774484724,False,12
45,0.39877641201019287,0.8197959090285087,0.8250457205681595,False,11
46,0.398227721452713,0.8207850356754397,0.8257579216598212,True,16
47,0.3976125121116638,0.821964243599717,0.8264577906456159,True,16
48,0.3974897265434265,0.8234004132507771,0.8274851524203655,True,16
49,0.3943363428115845,0.8247063420266183,0.8285220625319952,True,16
50,0.39464330673217773,0.8254173868048393,0.8288211230888016,True,16
51,0.39297348260879517,0.8257500290401952,0.8288303210954213,True,16
52,0.39258986711502075,0.8256813885789314,0.8289476351318943,False,15
