relation,num_edges,avg_degree,isolated_user_count,same_label_ratio,fake_fake_ratio,fake_real_ratio,real_real_ratio,avg_edge_weight,avg_pair_abnormal_score,avg_base_rank_score,avg_diagnostic_gate_score
UPU,129868,19.4909200060033,1,0.5750069301136539,0.29327470970523917,0.4249930698863461,0.2817322204084147,0.0349160345713914,0.22973056137561798,0.8384734988212585,0.6359586119651794
UTU,129559,19.520717191502186,27,0.5322748709082349,0.3118656365053759,0.46772512909176517,0.22040923440285892,0.12175014067142037,0.2339513599872589,0.8444375991821289,0.6481733918190002
USU,133280,20.0,0,0.6337935174069628,0.3252851140456183,0.36620648259303723,0.30850840336134455,0.9948083523715654,0.2336881011724472,0.8862492442131042,0.6720280647277832
LogicAE_CB,130912,19.680096211665663,12,0.638757333170374,0.29312056954289906,0.361242666829626,0.3456367636274749,0.6944748268046799,0.24086125195026398,0.8611270189285278,0.6693609356880188
