row_type,name,is_promoted_baseline,artifact_source,d1_graph_source,review_epoch,review_val_auc,review_val_auc_source,d1_auc,d1_ap,d1_f1,d1_recall,d1_precision,d1_metric_source,notes
fresh_yelpcurrent_retrain_multirun,repeat01,True,/home/xyz/HuChao (2)/d1_ce6a9d6_yelpcurrent_retrain/graph/outputs/yelpcurrent_retrain_artifact_to_d1_multirun_20260514_183204_pyfix/artifacts/yelpcurrent_retrain_repeat_01,/home/xyz/HuChao (2)/d1_ce6a9d6_yelpcurrent_retrain/graph/outputs/yelpcurrent_retrain_artifact_to_d1_multirun_20260514_183204_pyfix/routed_d1/repeat_01_D1_EGAT_Base_LogicAE_CB,1,0.7496077001,artifact/review_encoder/review_encoder_metrics.json,0.8545569793813736,0.8522126584244006,0.7827278958190541,0.856071964017991,0.7209595959595959,repeat D1 graph run_summary.json,Same split/protocol/seed=42; repeated training is not bit-stable.
fresh_yelpcurrent_retrain_multirun,repeat02,False,/home/xyz/HuChao (2)/d1_ce6a9d6_yelpcurrent_retrain/graph/outputs/yelpcurrent_retrain_artifact_to_d1_multirun_20260514_183204_pyfix/artifacts/yelpcurrent_retrain_repeat_02,/home/xyz/HuChao (2)/d1_ce6a9d6_yelpcurrent_retrain/graph/outputs/yelpcurrent_retrain_artifact_to_d1_multirun_20260514_183204_pyfix/routed_d1/repeat_02_D1_EGAT_Base_LogicAE_CB,2,0.7550083385,artifact/review_encoder/review_encoder_metrics.json,0.846498789585717,0.8406636596031787,0.7805519053876478,0.8905547226386806,0.6947368421052632,repeat D1 graph run_summary.json,Same split/protocol/seed=42; repeated training is not bit-stable.
promoted_governance_baseline,CANONICAL_D1_repeat01_fresh_yelpcurrent_plus_D1_graph,True,/home/xyz/HuChao (2)/d1_ce6a9d6_governance/graph/outputs/routeD1_yelpcurrent_retrain_baseline_repeat01_20260514_183204/artifact,/home/xyz/HuChao (2)/d1_ce6a9d6_governance/graph/outputs/routeD1_yelpcurrent_retrain_baseline_repeat01_20260514_183204/d1_graph,1,0.7496077001,baseline_manifest.json copied from repeat01 artifact metrics,0.8545569793813736,0.8522126584244006,0.7827278958190541,0.856071964017991,0.7209595959595959,baseline_manifest.json copied from repeat01 D1 graph metrics,Current governance baseline selected by user; same values as repeat01.
historical_graph_only_reference,old_RouteD_D1_graph_only_0p85637,False,/home/xyz/HuChao (2)/Bert-TextClassification/graph/outputs/yelpzip_balanced_current_graph_no_reweight_20260502_160620,/home/xyz/HuChao (2)/Bert-TextClassification/graph/outputs/routeD_tns_guided_logic_egat_20260504_200855/D1_EGAT_Base_LogicAE_CB,2,0.753835373,not stored in RouteD output; inherited from base_dir review_encoder_metrics.json,0.8563709149922789,0.858368711617606,0.7781715095676824,0.823088455772114,0.7379032258064516,old RouteD D1 metrics/model_results.csv,"Audit/reference only; graph-only run from old yelpcurrent artifact, no fresh retrain."
fresh_repro_diagnostic,governance_epoch2_fresh_repro_diagnostic,False,/home/xyz/HuChao (2)/d1_ce6a9d6_governance/graph/outputs/routeD1_fresh_repro_epoch2_20260514_112300,/home/xyz/HuChao (2)/d1_ce6a9d6_governance/graph/outputs/routeD1_fresh_repro_epoch2_20260514_112300,2,0.753367505,review_encoder/review_encoder_metrics.json,0.848467820062982,0.843816985438882,0.7772380291464261,0.8395802098950524,0.7235142118863049,metrics/model_results.csv,Fresh diagnostic; not the promoted baseline.
